no_pkk_inaportnet,no_pkk,vessel_name,gt,loa,company_name,name_process_code,name_branch,departure_date,nomor_pkk,nomor_spb
PKK.DN.IDBDJ.2503.001312,FM6P25000104,MBP 1522,7874.0,120.0,"TERA LOGISTIC INDONESIA, PT",Realization,BANJARMASIN,2025-03-14T15:00:00.000Z,PKK.DN.IDBDJ.2503.001312,SPB.IDBDJ.0325.0001693
PKK.DN.IDBDJ.2503.001307,YCTO25000096,MBP 1501,7295.0,114.0,"TERA LOGISTIC INDONESIA, PT",Realization,BANJARMASIN,2025-03-14T15:00:00.000Z,PKK.DN.IDBDJ.2503.001307,SPB.IDBDJ.0325.0001551
PKK.DN.IDBDJ.2503.001298,C01125000054,CISM 01,590.0,50.0,"MASADA JAYA LINES, PT",Realization,BANJARMASIN,2025-03-15T15:00:00.000Z,PKK.DN.IDBDJ.2503.001298,SPB.IDBDJ.0325.0001791
PKK.DN.IDGRE.2503.000290,X8EK13000001,INTAN DELIMA,3513.0,84.13,PT SEROJA JAYA AGENSI,Realization,TANJUNG PERAK,2025-03-21T16:00:00.000Z,PKK.DN.IDGRE.2503.000290,SPB.IDGRE.0325.0000652
PKK.DN.IDKBU.2503.000211,D9KO57000015,BUNG TOMO,1257.0,63.0,"PELAYARAN NASIONAL INDONESIA (PERSERO), PT",Request PPKB,KOTABARU,2025-03-11T01:00:00.000Z,PKK.DN.IDKBU.2503.000211,SPB.IDKBU.0325.0000277
PKK.DN.IDBDJ.2503.001219,G05825000053,GEMILANG 3058,3441.0,91.44,"MULTI LINE BORNEO, PT",Realization,BANJARMASIN,2025-03-14T15:00:00.000Z,PKK.DN.IDBDJ.2503.001219,SPB.IDBDJ.0325.0002578
PKK.DN.IDSUB.2503.000333,111F13000042,FORTUNE,2979.0,95.9,"SALAM PACIFIC INDONESIA LINES, PT",Realization,TANJUNG PERAK,2025-03-11T22:00:00.000Z,PKK.DN.IDSUB.2503.000333,SPB.IDSUB.0325.0000422
PKK.LN.IDKBU.2503.000088,MXY057000001,MV. XI YUAN,40060.0,225.0,PT. IDT TRANS AGENCY,Request PPKB,KOTABARU,2025-03-10T15:30:00.000Z,PKK.LN.IDKBU.2503.000088,SPB.IDKBU.0325.0000250
PKK.DN.IDCXP.2503.000028,SI1026000028,SRIKANDI INDONESIA 19,26586.0,189.33,"TRIDAYA MUTIARA SAMUDERA, PT",Realization,TANJUNG INTAN,2025-03-17T09:00:00.000Z,PKK.DN.IDCXP.2503.000028,SPB.IDCXP.0325.0000078
PKK.LN.IDKBU.2410.000607,M59357000001,MV. CONON,32305.0,189.99,PT. IDT TRANS AGENCY,Request PPKB,KOTABARU,2024-10-24T02:33:00.000Z,PKK.LN.IDKBU.2410.000607,SPB.IDKBU.1124.0000323
PKK.DN.IDBDJ.2503.001167,BN1J25000010,ADELINE 05,1718.0,68.0,"MASADA JAYA LINES, PT",Realization,BANJARMASIN,2025-03-15T15:00:00.000Z,PKK.DN.IDBDJ.2503.001167,SPB.IDBDJ.0325.0002577
PKK.DN.IDBDJ.2503.001151,6ZHW25000036,SANJAYA,3107.0,91.44,"BARUNA PASIFIK RAYA, PT",Realization,BANJARMASIN,2025-03-09T15:30:00.000Z,PKK.DN.IDBDJ.2503.001151,SPB.IDBDJ.0325.0002361
PKK.LN.IDBDJ.2503.001135,TLT225000001,SAMUDRA BINTANG 3,4592.0,96.62,"ANUGERAH MAHADAYA NUSANTARA, PT",Realization,BANJARMASIN,2025-03-11T15:00:00.000Z,PKK.LN.IDBDJ.2503.001135,SPB.IDBDJ.0325.0001326
PKK.DN.IDBDJ.2503.001112,BATK25000102,BATOK,4408.0,105.16,"TERA LOGISTIC INDONESIA, PT",Realization,BANJARMASIN,2025-03-12T15:00:00.000Z,PKK.DN.IDBDJ.2503.001112,SPB.IDBDJ.0325.0001249
PKK.DN.IDSMQ.2503.000133,TSX183000004,TIRTA SAMUDRA XXXVI,2272.0,89.59,"SEROJA JAYA AGENSI, PT",Realization,SAMPIT,2025-03-25T13:00:00.000Z,PKK.DN.IDSMQ.2503.000133,SPB.IDSMQ.0325.0000312
PKK.DN.IDBDJ.2503.001106,R19025000094,MBP 1511,7487.0,118.0,"TERA LOGISTIC INDONESIA, PT",Realization,BANJARMASIN,2025-03-12T15:00:00.000Z,PKK.DN.IDBDJ.2503.001106,SPB.IDBDJ.0325.0001381
PKK.LN.IDSRG.2503.000097,QLOI09000001,MV. HOANG TUAN 99,1599.0,79.8,"PELAYARAN KARANA LINE, PT",Realization,TANJUNG EMAS,2025-03-14T13:00:00.000Z,PKK.LN.IDSRG.2503.000097,SPB.IDSRG.0325.0000258
PKK.DN.IDBDJ.2503.001100,NBX225000030,RIMAU 3016,3348.0,91.44,"RIMAU BAHTERA SHIPPING, PT",Realization,BANJARMASIN,2025-03-31T05:55:00.000Z,PKK.DN.IDBDJ.2503.001100,SPB.IDBDJ.0325.0002429
PKK.DN.IDBDJ.2503.001081,6F1025000104,MBP 1401,6675.0,112.5,"TERA LOGISTIC INDONESIA, PT",Realization,BANJARMASIN,2025-03-12T15:00:00.000Z,PKK.DN.IDBDJ.2503.001081,SPB.IDBDJ.0325.0001312
PKK.DN.IDBDJ.2503.000753,A64125000008,SOEKAWATI 2568,1995.0,76.2,PT. MANNA BERKAT SEJATI,Realization,BANJARMASIN,2025-03-12T15:00:00.000Z,PKK.DN.IDBDJ.2503.000753,SPB.IDBDJ.0325.0001085
PKK.DN.IDBDJ.2503.001088,BTNG25000100,BATANG,4408.0,105.16,"TERA LOGISTIC INDONESIA, PT",Realization,BANJARMASIN,2025-03-12T15:00:00.000Z,PKK.DN.IDBDJ.2503.001088,SPB.IDBDJ.0325.0001177
PKK.DN.IDBDJ.2503.001077,IPAU25000082,MBP 1302,5840.0,111.25,"TERA LOGISTIC INDONESIA, PT",Realization,BANJARMASIN,2025-03-12T15:00:00.000Z,PKK.DN.IDBDJ.2503.001077,SPB.IDBDJ.0325.0001256
PKK.DN.IDBDJ.2503.001030,RV9Z25000101,MBP 1518,7874.0,120.0,"TERA LOGISTIC INDONESIA, PT",Realization,BANJARMASIN,2025-03-11T15:00:00.000Z,PKK.DN.IDBDJ.2503.001030,SPB.IDBDJ.0325.0001380
PKK.DN.IDBDJ.2503.001028,XP8G25000092,MBP 1515,7251.0,120.0,"TERA LOGISTIC INDONESIA, PT",Realization,BANJARMASIN,2025-03-11T15:00:00.000Z,PKK.DN.IDBDJ.2503.001028,SPB.IDBDJ.0325.0001367
PKK.DN.IDBDJ.2503.001026,0GZH25000023,TUHUP 010,1805.0,67.3,"ANUGERAH MAHADAYA NUSANTARA, PT",Realization,BANJARMASIN,2025-03-11T15:00:00.000Z,PKK.DN.IDBDJ.2503.001026,SPB.IDBDJ.0325.0001225
PKK.DN.IDBDJ.2503.001016,P95Z25000010,MBP 4002,1876.0,73.15,"TERA LOGISTIC INDONESIA, PT",Realization,BANJARMASIN,2025-03-11T15:00:00.000Z,PKK.DN.IDBDJ.2503.001016,SPB.IDBDJ.0325.0001587
PKK.DN.IDBDJ.2503.001010,MD1625000100,MASADA 16,3245.0,87.78,"TERA LOGISTIC INDONESIA, PT",Realization,BANJARMASIN,2025-03-11T15:00:00.000Z,PKK.DN.IDBDJ.2503.001010,SPB.IDBDJ.0325.0001209
PKK.DN.IDBDJ.2503.000987,2Y8Z25000040,PATRIA 3216,4295.0,97.6,"BARITO SAMUDRA SEJAHTERA, PT",Realization,BANJARMASIN,2025-03-10T08:56:00.000Z,PKK.DN.IDBDJ.2503.000987,SPB.IDBDJ.0325.0002183
PKK.DN.IDBDJ.2503.000968,5OWL25000054,TAMA 3082,3508.0,91.44,"MULTI LINE BORNEO, PT",Realization,BANJARMASIN,2025-03-11T15:55:00.000Z,PKK.DN.IDBDJ.2503.000968,SPB.IDBDJ.0325.0002591
PKK.DN.IDKBU.2503.000187,232P57000039,PRILLY,2630.0,91.0,PT. TARUNA CIPTA KENCANA,Realization,KOTABARU,2025-03-10T02:00:00.000Z,PKK.DN.IDKBU.2503.000187,SPB.IDKBU.0325.0000252
PKK.DN.IDSMQ.2503.000116,BO1483000002,BUANA OCEAN 14,1845.0,76.2,"PELAYARAN SUMBER PENGHIDUPAN ABADI JAYA, PT",Realization,SAMPIT,2025-03-15T09:00:00.000Z,PKK.DN.IDSMQ.2503.000116,SPB.IDSMQ.0325.0000333
PKK.DN.IDSMQ.2503.000110,BPAC83000002,BORNEO PACIFIC,960.0,54.86,"PRIMA KARYA MARITIM INDONESIA, PT",Realization,SAMPIT,2025-03-14T16:00:00.000Z,PKK.DN.IDSMQ.2503.000110,SPB.IDSMQ.0325.0000341
PKK.DN.IDSUB.2503.000288,SC0213000010,SUMBER CIPTA II,2005.0,76.2,"PELAYARAN DWI PUTRA LAKSANA, PT",Realization,TANJUNG PERAK,2025-03-14T01:00:00.000Z,PKK.DN.IDSUB.2503.000288,SPB.IDSUB.0325.0000888
PKK.DN.IDBDJ.2503.000871,EC3K25000091,RMN 3321,4338.0,100.58,"TERA LOGISTIC INDONESIA, PT",Realization,BANJARMASIN,2025-03-09T15:00:00.000Z,PKK.DN.IDBDJ.2503.000871,SPB.IDBDJ.0325.0001351
PKK.LN.IDSUB.2503.000276,IAVX13000001,MSC LILOU III,35824.0,220.5,"SAMUDERA AGENCIES INDONESIA, PT",Realization,TANJUNG PERAK,2025-03-09T01:00:00.000Z,PKK.LN.IDSUB.2503.000276,SPB.IDSUB.0325.0000820
PKK.DN.IDBJU.2503.000034,IMAS23000037,INSAM - 01,1647.0,72.9,"PELAYARAN NASIONAL INDONESIA (PERSERO), PT",Request PPKB,TANJUNG WANGI,2025-03-20T01:00:00.000Z,PKK.DN.IDBJU.2503.000034,SPB.IDBJU.0325.0000065
PKK.DN.IDKBU.2503.000071,444J57000001,JAZEEL,2994.0,89.8,PT. MASADA JAYA LINES,Request PPKB,KOTABARU,2025-03-05T15:45:00.000Z,PKK.DN.IDKBU.2503.000071,SPB.IDKBU.0325.0000173
PKK.DN.IDBDJ.2502.002706,5IMA25000045,WINBUILD369,5338.0,111.25,"SAGA MAS LESTARI, PT",Realization,BANJARMASIN,2025-02-25T09:00:00.000Z,PKK.DN.IDBDJ.2502.002706,SPB.IDBDJ.0325.0000836
PKK.DN.IDBDJ.2503.000823,3KHH25000006,LL 2722,2486.0,82.3,"RIMAU BAHTERA SHIPPING, PT",Realization,BANJARMASIN,2025-03-30T23:45:00.000Z,PKK.DN.IDBDJ.2503.000823,SPB.IDBDJ.0325.0002688
PKK.DN.IDBDJ.2503.000789,AP5525000007,ALKEN PADMA,1484.0,77.82,"UNAQU BORNEO JAYA, PT",Realization,BANJARMASIN,2025-03-10T15:00:00.000Z,PKK.DN.IDBDJ.2503.000789,SPB.IDBDJ.0325.0002486
PKK.LN.IDBOA.2503.000564,J9X627000001,MV. FLOATEL TRIUMPH,27211.0,125.0,TRANS CAKRAWALA PERKASA. PT,Request PPKB,BENOA,2025-03-08T12:00:00.000Z,PKK.LN.IDBOA.2503.000564,SPB.IDBOA.0325.0000749
PKK.DN.IDBDJ.2503.000768,35VD25000019,CAKRAWALA XVII 2023,4338.0,100.58,SARANA MARITIM SEJAHTERA PT,Realization,BANJARMASIN,2025-03-06T22:00:00.000Z,PKK.DN.IDBDJ.2503.000768,SPB.IDBDJ.0325.0001029
PKK.DN.IDSMQ.2503.000085,GHIY83000001,SUPPORT 5,2133.0,79.01,MEGA BAHTERA KENCANA,Realization,SAMPIT,2025-03-10T01:00:00.000Z,PKK.DN.IDSMQ.2503.000085,SPB.IDSMQ.0325.0000301
PKK.DN.IDBDJ.2503.000724,BRAN25000114,BARAN,4408.0,105.16,"TERA LOGISTIC INDONESIA, PT",Realization,BANJARMASIN,2025-03-09T15:00:00.000Z,PKK.DN.IDBDJ.2503.000724,SPB.IDBDJ.0325.0000926
PKK.LN.IDBDJ.2503.000722,E4RF25000002,BG. THE FIFTH KHAGAN,4290.0,95.88,"WIRATRANS SAMUDERA, PT",Realization,BANJARMASIN,2025-03-06T15:00:00.000Z,PKK.LN.IDBDJ.2503.000722,SPB.IDBDJ.0325.0000754
PKK.DN.IDSRG.2503.000060,F01109000005,FPS - 05A,1714.0,73.76,"SAMUDERA PERDANA SELARAS, PT",Realization,TANJUNG EMAS,2025-03-18T16:00:00.000Z,PKK.DN.IDSRG.2503.000060,SPB.IDSRG.0325.0000243
PKK.DN.IDBDJ.2503.000708,NIS925000005,NIAGA SAMUDRA 9,972.0,73.21,BUANA MITRA SAMUDERA PT,Realization,BANJARMASIN,2025-03-10T00:00:00.000Z,PKK.DN.IDBDJ.2503.000708,SPB.IDBDJ.0325.0001020
PKK.DN.IDBDJ.2503.000674,NA4Z25000023,TUHUP 014,1812.0,70.1,"ANUGERAH MAHADAYA NUSANTARA, PT",Realization,BANJARMASIN,2025-03-09T15:00:00.000Z,PKK.DN.IDBDJ.2503.000674,SPB.IDBDJ.0325.0000898
PKK.DN.IDBDJ.2503.000643,KWZ725000085,RMN 3313,4337.0,100.58,"TERA LOGISTIC INDONESIA, PT",Realization,BANJARMASIN,2025-03-08T15:00:00.000Z,PKK.DN.IDBDJ.2503.000643,SPB.IDBDJ.0325.0000839
PKK.DN.IDBDJ.2503.000638,TYDB25000019,TUHUP 025,1986.0,76.25,"ANUGERAH MAHADAYA NUSANTARA, PT",Realization,BANJARMASIN,2025-03-08T15:00:00.000Z,PKK.DN.IDBDJ.2503.000638,SPB.IDBDJ.0325.0001014
PKK.DN.IDBDJ.2503.000621,EPPI25000001,TELAGA MAKMUR 55,3197.0,91.5,MEGA BAHTERA KENCANA PT,Realization,BANJARMASIN,2025-03-06T17:00:00.000Z,PKK.DN.IDBDJ.2503.000621,SPB.IDBDJ.0325.0002875
PKK.DN.IDSUB.2503.000195,B50013000080,BARUNA 58-I,755.0,65.22,"KARTIKA JASA KARYA, PT",Realization,TANJUNG PERAK,2025-03-07T12:00:00.000Z,PKK.DN.IDSUB.2503.000195,SPB.IDSUB.0325.0000440
PKK.DN.IDSUB.2503.000188,222H13000028,HAFIDYAH,986.0,75.54,"PELAYARAN HUB MARITIM INDONESIA, PT",Realization,TANJUNG PERAK,2025-03-10T15:00:00.000Z,PKK.DN.IDSUB.2503.000188,SPB.IDSUB.0325.0000602
PKK.DN.IDBDJ.2503.000602,D1U425000008,RMN 2503,2013.0,76.2,"TERA LOGISTIC INDONESIA, PT",Realization,BANJARMASIN,2025-03-08T15:00:00.000Z,PKK.DN.IDBDJ.2503.000602,SPB.IDBDJ.0325.0000843
PKK.DN.IDBDJ.2503.000571,9IEQ25000014,EKA MARIS 101,3145.0,91.5,"BARITO SAMUDRA SEJAHTERA, PT",Realization,BANJARMASIN,2025-03-07T15:00:00.000Z,PKK.DN.IDBDJ.2503.000571,SPB.IDBDJ.0325.0002188
PKK.DN.IDKBU.2502.000488,RR1157000009,ROYAL REY,3385.0,87.17,"BERKAH SALSABILL SAIJAAN, PT	",Request PPKB,KOTABARU,2025-02-22T02:30:00.000Z,PKK.DN.IDKBU.2502.000488,SPB.IDKBU.0225.0000647
PKK.DN.IDKBU.2502.000522,B71057000001,BAHARI 2710,2447.0,82.3,PT. ALWIESTA NIAGA MANDIRI,Request PPKB,KOTABARU,2025-02-22T15:00:00.000Z,PKK.DN.IDKBU.2502.000522,SPB.IDKBU.0325.0000143
PKK.DN.IDBDJ.2503.000542,GT1325000001,GOLD TRANS 313,3142.0,87.78,"TRANS POWER MARINE TBK, PT",Realization,BANJARMASIN,2025-03-07T15:00:00.000Z,PKK.DN.IDBDJ.2503.000542,SPB.IDBDJ.0325.0002033
PKK.DN.IDBDJ.2503.000502,BNJO25000107,BELINJO,4408.0,105.16,"TERA LOGISTIC INDONESIA, PT",Realization,BANJARMASIN,2025-03-07T15:00:00.000Z,PKK.DN.IDBDJ.2503.000502,SPB.IDBDJ.0325.0001311
PKK.DN.IDBDJ.2503.000483,OWOA25000002,PATRIA 3225,4295.0,97.6,"BARITO SAMUDRA SEJAHTERA, PT",Realization,BANJARMASIN,2025-03-06T09:19:00.000Z,PKK.DN.IDBDJ.2503.000483,SPB.IDBDJ.0325.0000835
PKK.DN.IDBDJ.2503.000474,P8C225000052,PEC 8512,3906.0,98.26,"TERA LOGISTIC INDONESIA, PT",Realization,BANJARMASIN,2025-03-04T15:00:00.000Z,PKK.DN.IDBDJ.2503.000474,SPB.IDBDJ.0325.0000618
PKK.DN.IDBDJ.2503.000457,E8XY25000072,TAMA 3368,4388.0,100.58,"MULTI LINE BORNEO, PT",Realization,BANJARMASIN,2025-03-08T15:00:00.000Z,PKK.DN.IDBDJ.2503.000457,SPB.IDBDJ.0325.0002586
PKK.DN.IDBDJ.2503.000455,LCE225000016,PATRIA 3214,4295.0,97.6,"BARITO SAMUDRA SEJAHTERA, PT",Realization,BANJARMASIN,2025-03-06T07:21:00.000Z,PKK.DN.IDBDJ.2503.000455,SPB.IDBDJ.0325.0002190
PKK.DN.IDBDJ.2503.000409,SL2825000008,SATRIA LAUT 3028,3031.0,91.5,"BARITO SAMUDRA SEJAHTERA, PT",Realization,BANJARMASIN,2025-03-07T04:42:00.000Z,PKK.DN.IDBDJ.2503.000409,SPB.IDBDJ.0325.0000445
PKK.DN.IDBDJ.2503.000397,R19025000093,MBP 1511,7487.0,118.0,"TERA LOGISTIC INDONESIA, PT",Realization,BANJARMASIN,2025-03-07T15:00:00.000Z,PKK.DN.IDBDJ.2503.000397,SPB.IDBDJ.0325.0000752
PKK.DN.IDBDJ.2503.000386,A88P25000002,BUANA OCEAN 25,1858.0,76.2,PT Immanu Sukses Bersama,Realization,BANJARMASIN,2025-03-12T01:52:00.000Z,PKK.DN.IDBDJ.2503.000386,SPB.IDBDJ.0325.0000442
PKK.DN.IDBDJ.2503.000378,B2CM25000024,CPT 2702,2214.0,82.96,AMANAH MANDIRI SAMUDERA PT,Realization,BANJARMASIN,2025-03-08T02:42:00.000Z,PKK.DN.IDBDJ.2503.000378,SPB.IDBDJ.0325.0002553
PKK.DN.IDKBU.2503.000079,232P57000038,PRILLY,2630.0,91.0,PT. TARUNA CIPTA KENCANA,Realization,KOTABARU,2025-03-05T15:00:00.000Z,PKK.DN.IDKBU.2503.000079,SPB.IDKBU.0325.0000122
PKK.DN.IDGRE.2503.000086,BMI113000007,BM - I,993.0,54.86,ARMADA ANAK LAUT,Realization,TANJUNG PERAK,2025-03-11T01:00:00.000Z,PKK.DN.IDGRE.2503.000086,SPB.IDGRE.0325.0000434
PKK.DN.IDSUB.2503.000105,U20013000005,UNITAMA - 20,1379.0,64.32,PT MUTIARA SIDA GEMILANG,Realization,TANJUNG PERAK,2025-03-17T13:00:00.000Z,PKK.DN.IDSUB.2503.000105,SPB.IDSUB.0325.0000878
PKK.DN.IDBDJ.2503.000315,NBHA25000066,DUTA PERKASA 3308,4874.0,100.58,"MULTI LINE BORNEO, PT",Realization,BANJARMASIN,2025-03-07T15:00:00.000Z,PKK.DN.IDBDJ.2503.000315,SPB.IDBDJ.0325.0002454
PKK.DN.IDBDJ.2503.000313,L30725000020,MJL 307,3619.0,91.44,"MASADA JAYA LINES, PT",Realization,BANJARMASIN,2025-03-08T15:00:00.000Z,PKK.DN.IDBDJ.2503.000313,SPB.IDBDJ.0325.0000319
PKK.DN.IDBDJ.2503.000299,TNL225000012,BINA MARINE 16 A,1835.0,73.15,"TERA LOGISTIC INDONESIA, PT",Realization,BANJARMASIN,2025-03-06T15:00:00.000Z,PKK.DN.IDBDJ.2503.000299,SPB.IDBDJ.0325.0000581
PKK.DN.IDKBU.2502.000311,RYL857000022,ROYAL 8,1311.0,54.86,PT. ALWIESTA NIAGA MANDIRI,Request PPKB,KOTABARU,2025-02-15T14:00:00.000Z,PKK.DN.IDKBU.2502.000311,SPB.IDKBU.0225.0000494
PKK.DN.IDBDJ.2503.000184,005A25000007,RMN 368,3141.0,87.78,"KARTIKA SAMUDRA ADIJAYA, PT",Realization,BANJARMASIN,2025-03-03T15:00:00.000Z,PKK.DN.IDBDJ.2503.000184,SPB.IDBDJ.0325.0001035
PKK.DN.IDBDJ.2503.000267,FBI025000079,FAJAR BAHARI II,4751.0,88.0,"FAJAR BAHARI NUSANTARA, PT",Realization,BANJARMASIN,2025-03-05T15:00:00.000Z,PKK.DN.IDBDJ.2503.000267,SPB.IDBDJ.0325.0000585
PKK.DN.IDBDJ.2503.000242,BRAN25000113,BARAN,4408.0,105.16,"TERA LOGISTIC INDONESIA, PT",Realization,BANJARMASIN,2025-03-05T15:00:00.000Z,PKK.DN.IDBDJ.2503.000242,SPB.IDBDJ.0325.0000421
PKK.DN.IDSTU.2403.000550,MVOY57000001,RMN 363,3107.0,87.78,PT. PELAYARAN KARTIKASAMUDRA ADIJAYA,Request PPKB,KOTABARU,2024-03-26T15:55:00.000Z,PKK.DN.IDSTU.2403.000550,SPB.IDSTU.0325.0000430
PKK.LN.IDKBU.2502.000633,1NYU57000001,MV. ORIENT POWER,23456.0,180.0,PT. SERASI SHIPPING INDONESIA,Request PPKB,KOTABARU,2025-02-28T02:00:00.000Z,PKK.LN.IDKBU.2502.000633,SPB.IDKBU.0225.0000720
PKK.LN.IDKBU.2502.000617,OU3E57000001,MV. STAR VANCOUVER,36551.0,199.9,PT. IDT TRANS AGENCY,Request PPKB,KOTABARU,2025-02-28T15:30:00.000Z,PKK.LN.IDKBU.2502.000617,SPB.IDKBU.0325.0000022
PKK.DN.IDGRE.2503.000052,AL8913000010,ANAK LAUT 289,2146.0,82.3,ARMADA ANAK LAUT,Realization,TANJUNG PERAK,2025-03-09T01:00:00.000Z,PKK.DN.IDGRE.2503.000052,SPB.IDGRE.0325.0000565
PKK.DN.IDSUB.2503.000056,AS2413000008,INDO SUKSES 24,3668.0,91.44,"PULAU WEH, PT",Realization,TANJUNG PERAK,2025-03-15T01:00:00.000Z,PKK.DN.IDSUB.2503.000056,SPB.IDSUB.0325.0000552
PKK.DN.IDBDJ.2503.000176,P03025000011,PERMATA IBU,1489.0,81.69,"GAYATRI SAMUDERA MANDIRI, PT",Realization,BANJARMASIN,2025-03-10T10:16:00.000Z,PKK.DN.IDBDJ.2503.000176,SPB.IDBDJ.0325.0002391
PKK.DN.IDBDJ.2503.000116,XNQ725000005,CELVIA STAR 11,4006.0,91.44,"BARITO SAMUDRA SEJAHTERA, PT",Realization,BANJARMASIN,2025-03-03T10:11:00.000Z,PKK.DN.IDBDJ.2503.000116,SPB.IDBDJ.0325.0000273
PKK.DN.IDSUB.2503.000020,R7UJ13000013,GARUDA ATLANTIC 1,4589.0,99.5,"ANUGERAH TIRTA SAMUDRA, PT",Realization,TANJUNG PERAK,2025-03-10T11:00:00.000Z,PKK.DN.IDSUB.2503.000020,SPB.IDSUB.0325.0000172
PKK.DN.IDBDJ.2503.000051,UCT825000032,TBS 3001,3417.0,91.44,"RIMAU BAHTERA SHIPPING, PT",Realization,BANJARMASIN,2025-03-03T02:54:00.000Z,PKK.DN.IDBDJ.2503.000051,SPB.IDBDJ.0325.0002481
PKK.DN.IDBDJ.2503.000036,KJ9725000056,PULAU TIGA 3405,4408.0,105.16,"SAGA MAS LESTARI, PT",Realization,BANJARMASIN,2025-03-02T09:00:00.000Z,PKK.DN.IDBDJ.2503.000036,SPB.IDBDJ.0325.0002819
PKK.DN.IDSTU.2411.000478,GT1357000002,GOLD TRANS 313,3142.0,87.78,"PELAYARAN LAKSITA ADITYA PARAMA, PT",Request PPKB,KOTABARU,2024-11-21T15:00:00.000Z,PKK.DN.IDSTU.2411.000478,SPB.IDSTU.0325.0000037
PKK.DN.IDBDJ.2502.003197,Q6QP25000089,PULAU TIGA 3802,7662.0,115.82,"TERA LOGISTIC INDONESIA, PT",Realization,BANJARMASIN,2025-03-03T15:00:00.000Z,PKK.DN.IDBDJ.2502.003197,SPB.IDBDJ.0325.0000334
PKK.DN.IDBDJ.2502.003186,5VIY25000001,PATRIA 3218,4295.0,97.6,"BARITO SAMUDRA SEJAHTERA, PT",Realization,BANJARMASIN,2025-03-02T11:23:00.000Z,PKK.DN.IDBDJ.2502.003186,SPB.IDBDJ.0325.0000826
PKK.DN.IDKUM.2502.000188,SAMV74000001,SAMUDRA V,2200.0,76.2,"DUTA RARA BORNEO LINE, PT",Realization,KUMAI,2025-03-12T07:00:00.000Z,PKK.DN.IDKUM.2502.000188,SPB.IDKUM.0325.0000156
PKK.DN.IDKBU.2502.000373,NKKO57000001,NIKKO,1952.0,91.99,PT. TARUNA CIPTA KENCANA,Request PPKB,KOTABARU,2025-02-20T07:00:00.000Z,PKK.DN.IDKBU.2502.000373,SPB.IDKBU.0225.0000739
PKK.DN.IDKBU.2502.000655,D9KO57000014,BUNG TOMO,1257.0,63.0,"PELAYARAN NASIONAL INDONESIA (PERSERO), PT",Request PPKB,KOTABARU,2025-02-28T03:00:00.000Z,PKK.DN.IDKBU.2502.000655,SPB.IDKBU.0225.0000733
PKK.DN.IDBDJ.2502.003084,A02G25000018,ASK  I,3107.0,91.44,"BARUNA PASIFIK RAYA, PT",Realization,BANJARMASIN,2025-02-27T15:30:00.000Z,PKK.DN.IDBDJ.2502.003084,SPB.IDBDJ.0325.0000163
PKK.DN.IDKBU.2502.000703,TVT557000001,COLORADO,2026.0,76.2,PT. LIMA SEMBILAN SEMBILAN SEMBILAN,Realization,KOTABARU,2025-02-28T14:00:00.000Z,PKK.DN.IDKBU.2502.000703,SPB.IDKBU.0325.0000050
PKK.DN.IDSUB.2502.000994,TJ3313000007,TENANG JAYA1,599.0,50.1,"BERKAH BUMI SAMUDERA, PT",Realization,TANJUNG PERAK,2025-03-12T11:00:00.000Z,PKK.DN.IDSUB.2502.000994,SPB.IDSUB.0325.0000560
PKK.DN.IDBDJ.2502.003026,SO6825000020,SOEKAWATI 168,3065.0,91.5,"SAUFA KHALID MARITIM SAMUDERA, PT",Realization,BANJARMASIN,2025-02-28T09:00:00.000Z,PKK.DN.IDBDJ.2502.003026,SPB.IDBDJ.0325.0002282
PKK.LN.IDSRG.2502.000254,0YZY09000001,MV. HEILAN BRIGHT,32953.0,189.99,KALANDARA INDAH LAUTINDO PT,Realization,TANJUNG EMAS,2025-03-04T08:00:00.000Z,PKK.LN.IDSRG.2502.000254,SPB.IDSRG.0325.0000093
PKK.DN.IDSMQ.2502.000384,BK8T83000002,KURNIA KAPUAS MANDIRI II,1841.0,70.1,"PELAYARAN ANDHARA ADHYA JAYA, PT",Realization,SAMPIT,2025-03-06T09:00:00.000Z,PKK.DN.IDSMQ.2502.000384,SPB.IDSMQ.0325.0000323
PKK.DN.IDSMQ.2502.000373,S38983000001,SEIKO MARU,645.0,54.35,"SEMANGAT MANDIRI INDONESIA, PT",Realization,SAMPIT,2025-03-06T15:00:00.000Z,PKK.DN.IDSMQ.2502.000373,SPB.IDSMQ.0325.0000354
PKK.DN.IDBDJ.2502.002948,LLUY25000019,SUPPORT 4,2133.0,79.01,MEGA BAHTERA KENCANA PT,Realization,BANJARMASIN,2025-02-27T12:00:00.000Z,PKK.DN.IDBDJ.2502.002948,SPB.IDBDJ.0325.0002717
PKK.DN.IDBDJ.2502.002941,R76J25000103,ISA 311,3112.0,91.5,"TERA LOGISTIC INDONESIA, PT",Realization,BANJARMASIN,2025-03-01T15:00:00.000Z,PKK.DN.IDBDJ.2502.002941,SPB.IDBDJ.0225.0003297
PKK.DN.IDBDJ.2502.002938,AFKU25000008,RMN 2505,2212.0,73.2,"TERA LOGISTIC INDONESIA, PT",Realization,BANJARMASIN,2025-03-01T15:00:00.000Z,PKK.DN.IDBDJ.2502.002938,SPB.IDBDJ.0225.0003363
