nomor_pkk,nomor_spb
PKK.DN.IDSMQ.2502.000405,SPB.IDSMQ.0325.0000087
PKK.DN.IDSMQ.2502.000222,SPB.IDSMQ.0325.0000085
PKK.DN.IDGRE.2502.000735,SPB.IDGRE.0325.0000236
PKK.DN.IDBDJ.2503.000563,SPB.IDBDJ.0325.0000953
PKK.DN.IDGRE.2502.000736,SPB.IDGRE.0325.0000235
PKK.DN.IDSRG.2501.000250,SPB.IDSRG.0325.0000078
PKK.DN.IDBDJ.2503.000767,SPB.IDBDJ.0325.0000952
PKK.DN.IDBOA.2503.000662,SPB.IDBOA.0325.0000761
PKK.DN.IDBOA.2503.000659,SPB.IDBOA.0325.0000760
PKK.DN.IDBDJ.2503.000317,SPB.IDBDJ.0325.0000951
PKK.DN.IDBDJ.2503.000316,SPB.IDBDJ.0325.0000950
PKK.DN.IDSMQ.2502.000401,SPB.IDSMQ.0325.0000083
PKK.DN.IDKBU.2503.000092,SPB.IDKBU.0325.0000205
PKK.DN.IDSUB.2503.000177,SPB.IDSUB.0325.0000278
PKK.LN.IDSUB.2503.000212,SPB.IDSUB.0325.0000277
PKK.DN.IDSMQ.2502.000400,SPB.IDSMQ.0325.0000084
PKK.DN.IDKBU.2503.000093,SPB.IDKBU.0325.0000206
PKK.LN.IDSUB.2503.000241,SPB.IDSUB.0325.0000276
PKK.DN.IDBOA.2503.000709,SPB.IDBOA.0325.0000753
PKK.DN.IDSUB.2502.000633,SPB.IDSUB.0325.0000275
PKK.DN.IDBDJ.2205.002031,SPB.IDBDJ.0325.0000948
PKK.DN.IDKUM.2503.000043,SPB.IDKUM.0325.0000062
PKK.DN.IDBDJ.2503.000369,SPB.IDBDJ.0325.0000947
PKK.DN.IDSMQ.2502.000369,SPB.IDSMQ.0325.0000082
PKK.DN.IDSRG.2503.000014,SPB.IDSRG.0325.0000076
PKK.DN.IDSRG.2503.000015,SPB.IDSRG.0325.0000075
PKK.DN.IDSMQ.2502.000370,SPB.IDSMQ.0325.0000081
PKK.LN.IDSTU.2503.000016,SPB.IDSTU.0325.0000180
PKK.DN.IDBDJ.2503.000766,SPB.IDBDJ.0325.0000944
PKK.LN.IDBOA.2503.000564,SPB.IDBOA.0325.0000749
PKK.DN.IDBDJ.2503.000692,SPB.IDBDJ.0325.0000943
PKK.DN.IDSRG.2503.000028,SPB.IDSRG.0325.0000073
PKK.LN.IDSUB.2503.000094,SPB.IDSUB.0325.0000274
PKK.DN.IDBDJ.2503.000207,SPB.IDBDJ.0325.0000939
PKK.DN.IDBDJ.2503.000208,SPB.IDBDJ.0325.0000938
PKK.DN.IDBDJ.2503.000162,SPB.IDBDJ.0325.0000937
PKK.DN.IDSRG.2503.000073,SPB.IDSRG.0325.0000074
PKK.DN.IDBDJ.2503.000689,SPB.IDBDJ.0325.0000942
PKK.DN.IDSTU.2503.000112,SPB.IDSTU.0325.0000179
PKK.LN.IDGRE.2502.000787,SPB.IDGRE.0325.0000233
PKK.LN.IDSUB.2502.000966,SPB.IDSUB.0325.0000273
PKK.DN.IDBDJ.2503.000163,SPB.IDBDJ.0325.0000936
PKK.DN.IDBDJ.2503.000169,SPB.IDBDJ.0325.0000935
PKK.DN.IDSUB.2503.000245,SPB.IDSUB.0325.0000272
PKK.DN.IDBDJ.2503.000168,SPB.IDBDJ.0325.0000934
PKK.DN.IDBDJ.2503.000171,SPB.IDBDJ.0325.0000933
PKK.DN.IDBDJ.2503.000170,SPB.IDBDJ.0325.0000932
PKK.DN.IDKOE.2503.000017,SPB.IDKOE.0325.0000057
PKK.DN.IDGRE.2502.000737,SPB.IDGRE.0325.0000231
PKK.DN.IDGRE.2502.000738,SPB.IDGRE.0325.0000230
PKK.DN.IDBDJ.2503.000496,SPB.IDBDJ.0325.0000931
PKK.DN.IDBDJ.2503.000495,SPB.IDBDJ.0325.0000930
PKK.DN.IDGRE.2502.000270,SPB.IDGRE.0325.0000232
PKK.DN.IDSUB.2503.000023,SPB.IDSUB.0325.0000271
PKK.DN.IDBDJ.2503.000370,SPB.IDBDJ.0325.0000927
PKK.DN.IDBDJ.2503.000724,SPB.IDBDJ.0325.0000926
PKK.DN.IDBDJ.2503.000707,SPB.IDBDJ.0325.0000924
PKK.DN.IDBDJ.2503.000706,SPB.IDBDJ.0325.0000923
PKK.DN.IDBDJ.2503.000241,SPB.IDBDJ.0325.0000925
PKK.DN.IDBJU.2410.000076,SPB.IDBJU.0325.0000037
PKK.DN.IDBDJ.2503.000655,SPB.IDBDJ.0325.0000918
PKK.DN.IDBDJ.2503.000654,SPB.IDBDJ.0325.0000917
PKK.DN.IDBDJ.2503.000660,SPB.IDBDJ.0325.0000915
PKK.DN.IDBDJ.2503.000717,SPB.IDBDJ.0325.0000920
PKK.DN.IDBDJ.2503.000718,SPB.IDBDJ.0325.0000919
PKK.DN.IDKBU.2503.000145,SPB.IDKBU.0325.0000201
PKK.DN.IDKBU.2503.000146,SPB.IDKBU.0325.0000200
PKK.DN.IDBDJ.2503.000661,SPB.IDBDJ.0325.0000916
PKK.DN.IDKBU.2503.000148,SPB.IDKBU.0325.0000199
PKK.DN.IDGRE.2502.000565,SPB.IDGRE.0325.0000227
PKK.DN.IDGRE.2502.000564,SPB.IDGRE.0325.0000226
PKK.DN.IDLBR.2503.000044,SPB.IDLBR.0325.0000050
PKK.DN.IDSTU.2503.000094,SPB.IDSTU.0325.0000178
PKK.DN.IDSTU.2503.000093,SPB.IDSTU.0325.0000177
PKK.DN.IDBDJ.2503.000777,SPB.IDBDJ.0325.0000914
PKK.DN.IDBDJ.2503.000696,SPB.IDBDJ.0325.0000912
PKK.DN.IDBDJ.2503.000779,SPB.IDBDJ.0325.0000913
PKK.DN.IDBDJ.2503.000699,SPB.IDBDJ.0325.0000911
PKK.DN.IDKBU.2503.000147,SPB.IDKBU.0325.0000198
PKK.LN.IDGRE.2502.000487,SPB.IDGRE.0325.0000228
PKK.DN.IDGRE.2410.000865,SPB.IDGRE.0325.0000225
PKK.DN.IDGRE.2502.000421,SPB.IDGRE.0325.0000224
PKK.DN.IDBDJ.2503.000771,SPB.IDBDJ.0325.0000908
PKK.DN.IDGRE.2503.000193,SPB.IDGRE.0325.0000222
PKK.DN.IDBDJ.2503.000765,SPB.IDBDJ.0325.0000909
PKK.DN.IDBJU.2503.000028,SPB.IDBJU.0325.0000036
PKK.DN.IDKUM.2503.000044,SPB.IDKUM.0325.0000061
PKK.DN.IDGRE.2502.000499,SPB.IDGRE.0325.0000223
PKK.DN.IDBDJ.2503.000678,SPB.IDBDJ.0325.0000907
PKK.DN.IDBDJ.2503.000677,SPB.IDBDJ.0325.0000906
PKK.DN.IDSMQ.2502.000375,SPB.IDSMQ.0325.0000080
PKK.DN.IDSMQ.2502.000267,SPB.IDSMQ.0325.0000078
PKK.DN.IDKUM.2503.000031,SPB.IDKUM.0325.0000053
PKK.DN.IDSMQ.2502.000374,SPB.IDSMQ.0325.0000079
PKK.DN.IDBDJ.2503.000634,SPB.IDBDJ.0325.0000905
PKK.DN.IDSUB.2503.000265,SPB.IDSUB.0325.0000270
PKK.DN.IDSMQ.2502.000371,SPB.IDSMQ.0325.0000075
PKK.DN.IDGRE.2501.000040,SPB.IDGRE.0325.0000193	
PKK.DN.IDBDJ.2503.000682,SPB.IDBDJ.0325.0000904
PKK.DN.IDSRG.2503.000022,SPB.IDSRG.0325.0000072
PKK.DN.IDBDJ.2503.000271,SPB.IDBDJ.0325.0000902
PKK.DN.IDBDJ.2503.000269,SPB.IDBDJ.0325.0000901
PKK.DN.IDKOE.2502.000128,SPB.IDKOE.0325.0000056
PKK.DN.IDBDJ.2503.000674,SPB.IDBDJ.0325.0000898
PKK.DN.IDBJU.2503.000027,SPB.IDBJU.0325.0000035
PKK.DN.IDKOE.2502.000127,SPB.IDKOE.0325.0000055
PKK.DN.IDBDJ.2503.000673,SPB.IDBDJ.0325.0000897
PKK.DN.IDGRE.2502.000607,SPB.IDGRE.0325.0000219
PKK.DN.IDSUB.2503.000013,SPB.IDSUB.0325.0000269
PKK.DN.IDSUB.2503.000014,SPB.IDSUB.0325.0000268
PKK.DN.IDBDJ.2503.000541,SPB.IDBDJ.0325.0000895
PKK.DN.IDKUM.2503.000033,SPB.IDKUM.0325.0000060
PKK.DN.IDSUB.2503.000249,SPB.IDSUB.0325.0000267
PKK.DN.IDSUB.2503.000060,SPB.IDSUB.0325.0000266
PKK.DN.IDSUB.2503.000059,SPB.IDSUB.0325.0000265
PKK.LN.IDKBU.2503.000118,SPB.IDKBU.0325.0000193
PKK.DN.IDSUB.2503.000263,SPB.IDSUB.0325.0000264
PKK.DN.IDBOA.2502.001089,SPB.IDBOA.0325.0000713
PKK.DN.IDBOA.2502.001090,SPB.IDBOA.0325.0000712
PKK.DN.IDSUB.2503.000234,SPB.IDSUB.0325.0000263
PKK.LN.IDSRG.2503.000052,SPB.IDSRG.0325.0000071
PKK.DN.IDSUB.2503.000226,SPB.IDSUB.0325.0000262
PKK.DN.IDLBR.2503.000045,SPB.IDLBR.0325.0000049
PKK.DN.IDBOA.2503.000112,SPB.IDBOA.0325.0000714
PKK.DN.IDGRE.2410.000863,SPB.IDGRE.0325.0000218
PKK.DN.IDKOE.2503.000029,SPB.IDKOE.0325.0000054
PKK.DN.IDBJU.2503.000026,SPB.IDBJU.0325.0000034
PKK.DN.IDBDJ.2503.000739,SPB.IDBDJ.0325.0000891
PKK.DN.IDSUB.2503.000211,SPB.IDSUB.0325.0000259
PKK.DN.IDSUB.2503.000172,SPB.IDSUB.0325.0000261
PKK.DN.IDSRG.2503.000062,SPB.IDSRG.0325.0000070
PKK.DN.IDSUB.2501.001107,SPB.IDSUB.0325.0000260
PKK.DN.IDBDJ.2503.000670,SPB.IDBDJ.0325.0000893
PKK.DN.IDBDJ.2503.000671,SPB.IDBDJ.0325.0000892
PKK.DN.IDSUB.2503.000220,SPB.IDSUB.0325.0000258
PKK.DN.IDLBR.2503.000041,SPB.IDLBR.0325.0000048
PKK.DN.IDKBU.2503.000122,SPB.IDKBU.0325.0000192
PKK.DN.IDKBU.2503.000089,SPB.IDKBU.0325.0000191
PKK.DN.IDSUB.2503.000131,SPB.IDSUB.0325.0000257
PKK.DN.IDSUB.2503.000103,SPB.IDSUB.0325.0000256
PKK.DN.IDSUB.2503.000048,SPB.IDSUB.0325.0000255
PKK.DN.IDSUB.2503.000147,SPB.IDSUB.0325.0000254
PKK.DN.IDSUB.2503.000178,SPB.IDSUB.0325.0000253
PKK.DN.IDSUB.2503.000244,SPB.IDSUB.0325.0000252
PKK.DN.IDSRG.2503.000064,SPB.IDSRG.0325.0000069
PKK.LN.IDSUB.2503.000179,SPB.IDSUB.0325.0000250
PKK.LN.IDSTU.2503.000018,SPB.IDSTU.0325.0000172
PKK.DN.IDKOE.2503.000041,SPB.IDKOE.0325.0000053
PKK.LN.IDSUB.2503.000208,SPB.IDSUB.0325.0000251
PKK.DN.IDGRE.2502.000324,SPB.IDGRE.0325.0000217
PKK.DN.IDSTU.2502.000648,SPB.IDSTU.0325.0000169
PKK.DN.IDSTU.2502.000649,SPB.IDSTU.0325.0000168
PKK.DN.IDGRE.2503.000076,SPB.IDGRE.0325.0000216
PKK.DN.IDGRE.2503.000129,SPB.IDGRE.0325.0000215
PKK.DN.IDBDJ.2503.000811,SPB.IDBDJ.0325.0000890
PKK.DN.IDKBU.2503.000123,SPB.IDKBU.0325.0000188
PKK.DN.IDKBU.2503.000124,SPB.IDKBU.0325.0000187
PKK.DN.IDGRE.2502.000570,SPB.IDGRE.0325.0000214
PKK.DN.IDGRE.2503.000078,SPB.IDGRE.0325.0000213
PKK.DN.IDSMQ.2502.000226,SPB.IDSMQ.0325.0000074
PKK.DN.IDSMQ.2502.000297,SPB.IDSMQ.0325.0000072
PKK.DN.IDSRG.2502.000243,SPB.IDSRG.0325.0000068
PKK.DN.IDSMQ.2502.000225,SPB.IDSMQ.0325.0000073
PKK.DN.IDSUB.2503.000232,SPB.IDSUB.0325.0000249
PKK.DN.IDSUB.2503.000090,SPB.IDSUB.0325.0000248
PKK.DN.IDSUB.2502.000816,SPB.IDSUB.0325.0000247
PKK.DN.IDGRE.2503.000070,SPB.IDGRE.0325.0000212
PKK.DN.IDSMQ.2503.000062,SPB.IDSMQ.0325.0000070
PKK.DN.IDBDJ.2503.000688,SPB.IDBDJ.0325.0000875
PKK.DN.IDBDJ.2503.000694,SPB.IDBDJ.0325.0000873
PKK.DN.IDSRG.2502.000241,SPB.IDSRG.0325.0000067
PKK.DN.IDSUB.2502.000815,SPB.IDSUB.0325.0000246
PKK.DN.IDSMQ.2502.000298,SPB.IDSMQ.0325.0000071
PKK.DN.IDSUB.2503.000109,SPB.IDSUB.0325.0000245
PKK.DN.IDKOE.2503.000034,SPB.IDKOE.0325.0000052
PKK.DN.IDBDJ.2503.000813,SPB.IDBDJ.0325.0000880
PKK.DN.IDBDJ.2503.000606,SPB.IDBDJ.0325.0000879
PKK.DN.IDBDJ.2503.000697,SPB.IDBDJ.0325.0000877
PKK.DN.IDBDJ.2503.000664,SPB.IDBDJ.0325.0000871
PKK.DN.IDBDJ.2503.000603,SPB.IDBDJ.0325.0000870
PKK.DN.IDBDJ.2503.000640,SPB.IDBDJ.0325.0000869
PKK.DN.IDBDJ.2503.000683,SPB.IDBDJ.0325.0000867
PKK.DN.IDBDJ.2503.000684,SPB.IDBDJ.0325.0000866
PKK.DN.IDBDJ.2503.000691,SPB.IDBDJ.0325.0000863
PKK.DN.IDBDJ.2503.000686,SPB.IDBDJ.0325.0000862
PKK.DN.IDSUB.2502.000914,SPB.IDSUB.0325.0000242
PKK.DN.IDBDJ.2503.000539,SPB.IDBDJ.0325.0000859
PKK.DN.IDBDJ.2503.000685,SPB.IDBDJ.0325.0000872
PKK.DN.IDBDJ.2503.000641,SPB.IDBDJ.0325.0000860
PKK.DN.IDGRE.2502.000439,SPB.IDGRE.0325.0000211
PKK.DN.IDGRE.2502.000438,SPB.IDGRE.0325.0000210
PKK.DN.IDSUB.2503.000027,SPB.IDSUB.0325.0000244
PKK.DN.IDSUB.2502.000913,SPB.IDSUB.0325.0000243
PKK.DN.IDKOE.2502.000016,SPB.IDKOE.0325.0000051
PKK.DN.IDBDJ.2503.000537,SPB.IDBDJ.0325.0000858
PKK.DN.IDGRE.2502.000561,SPB.IDGRE.0325.0000209
PKK.DN.IDGRE.2503.000191,SPB.IDGRE.0325.0000205
PKK.DN.IDKUM.2503.000001,SPB.IDKUM.0325.0000058
PKK.DN.IDKUM.2503.000020,SPB.IDKUM.0325.0000057
PKK.DN.IDKUM.2503.000019,SPB.IDKUM.0325.0000056
PKK.DN.IDSUB.2503.000113,SPB.IDSUB.0325.0000241
PKK.DN.IDGRE.2502.000416,SPB.IDGRE.0325.0000195	
PKK.DN.IDBDJ.2503.000418,SPB.IDBDJ.0325.0000856
PKK.DN.IDBDJ.2503.000669,SPB.IDBDJ.0325.0000854
PKK.DN.IDBDJ.2503.000668,SPB.IDBDJ.0325.0000853
PKK.DN.IDSUB.2503.000183,SPB.IDSUB.0325.0000240
PKK.DN.IDBJU.2502.000126,SPB.IDBJU.0325.0000033
PKK.DN.IDKOE.2502.000017,SPB.IDKOE.0325.0000050
PKK.DN.IDGRE.2502.000566,SPB.IDGRE.0325.0000208
PKK.DN.IDKUM.2503.000002,SPB.IDKUM.0325.0000059
PKK.DN.IDGRE.2503.000192,SPB.IDGRE.0325.0000207
PKK.DN.IDGRE.2503.000173,SPB.IDGRE.0325.0000206
PKK.DN.IDKUM.2502.000171,SPB.IDKUM.0325.0000055
PKK.DN.IDKUM.2502.000170,SPB.IDKUM.0325.0000054
PKK.DN.IDBDJ.2503.000422,SPB.IDBDJ.0325.0000855
PKK.DN.IDGRE.2502.000540,SPB.IDGRE.0325.0000204
PKK.DN.IDKOE.2503.000033,SPB.IDKOE.0325.0000049
PKK.DN.IDKOE.2503.000030,SPB.IDKOE.0325.0000048
PKK.DN.IDGRE.2503.000030,SPB.IDGRE.0325.0000203
PKK.DN.IDGRE.2502.000559,SPB.IDGRE.0325.0000202
PKK.DN.IDGRE.2503.000029,SPB.IDGRE.0325.0000201
PKK.DN.IDBOA.2503.000514,SPB.IDBOA.0325.0000664
PKK.DN.IDGRE.2502.000509,SPB.IDGRE.0325.0000200
PKK.DN.IDBDJ.2501.001930,SPB.IDBDJ.0325.0000849
PKK.DN.IDBDJ.2503.000037,SPB.IDBDJ.0325.0000848
PKK.DN.IDBDJ.2503.000052,SPB.IDBDJ.0325.0000847
PKK.DN.IDBDJ.2503.000053,SPB.IDBDJ.0325.0000846
PKK.DN.IDBDJ.2503.000601,SPB.IDBDJ.0325.0000844
PKK.DN.IDBDJ.2503.000602,SPB.IDBDJ.0325.0000843
PKK.DN.IDSUB.2412.000584,SPB.IDSUB.0325.0000239
PKK.DN.IDBDJ.2503.000424,SPB.IDBDJ.0325.0000838
PKK.DN.IDBDJ.2502.002705,SPB.IDBDJ.0325.0000845
PKK.DN.IDBDJ.2503.000642,SPB.IDBDJ.0325.0000840
PKK.DN.IDBDJ.2503.000643,SPB.IDBDJ.0325.0000839
PKK.DN.IDSUB.2503.000080,SPB.IDSUB.0325.0000238
PKK.DN.IDGRE.2502.000513,SPB.IDGRE.0325.0000198
PKK.DN.IDSRG.2503.000039,SPB.IDSRG.0325.0000064
PKK.DN.IDBDJ.2503.000423,SPB.IDBDJ.0325.0000837
PKK.DN.IDCEB.2503.000015,SPB.IDCEB.0325.0000020
PKK.DN.IDBDJ.2502.002706,SPB.IDBDJ.0325.0000836
PKK.DN.IDBDJ.2503.000482,SPB.IDBDJ.0325.0000832
PKK.DN.IDBDJ.2503.000483,SPB.IDBDJ.0325.0000835
PKK.DN.IDKOE.2503.000042,SPB.IDKOE.0325.0000047
PKK.LN.IDLBR.2503.000036,SPB.IDLBR.0325.0000045
PKK.DN.IDKOE.2503.000039,SPB.IDKOE.0325.0000046
PKK.DN.IDKOE.2503.000015,SPB.IDKOE.0325.0000045
PKK.DN.IDBDJ.2502.003187,SPB.IDBDJ.0325.0000831
PKK.DN.IDBOA.2503.000639,SPB.IDBOA.0325.0000663
PKK.DN.IDKBU.2503.000109,SPB.IDKBU.0325.0000185
PKK.DN.IDGRE.2502.000734,SPB.IDGRE.0325.0000197
PKK.DN.IDKBU.2503.000110,SPB.IDKBU.0325.0000184
PKK.DN.IDBDJ.2503.000420,SPB.IDBDJ.0325.0000828
PKK.DN.IDBDJ.2503.000419,SPB.IDBDJ.0325.0000827
PKK.DN.IDGRE.2502.000728,SPB.IDGRE.0325.0000196
PKK.DN.IDGRE.2501.000039,SPB.IDGRE.0325.0000194
PKK.DN.IDBJU.2503.000030,SPB.IDBJU.0325.0000032
PKK.DN.IDGRE.2502.000416,SPB.IDGRE.0325.0000195
PKK.DN.IDGRE.2501.000040,SPB.IDGRE.0325.0000193
PKK.DN.IDGRE.2503.000005,SPB.IDGRE.0325.0000192
PKK.DN.IDGRE.2503.000006,SPB.IDGRE.0325.0000191
PKK.DN.IDGRE.2502.000689,SPB.IDGRE.0325.0000190
PKK.DN.IDBDJ.2503.000320,SPB.IDBDJ.0325.0000823
PKK.DN.IDBDJ.2503.000318,SPB.IDBDJ.0325.0000822
PKK.DN.IDSUB.2503.000128,SPB.IDSUB.0325.0000237
PKK.DN.IDGRE.2503.000019,SPB.IDGRE.0325.0000188
PKK.DN.IDGRE.2503.000021,SPB.IDGRE.0325.0000187
PKK.DN.IDBDJ.2503.000569,SPB.IDBDJ.0325.0000821
PKK.LN.IDGRE.2503.000122,SPB.IDGRE.0325.0000185
PKK.DN.IDBDJ.2502.003186,SPB.IDBDJ.0325.0000826
PKK.DN.IDKUM.2502.000109,SPB.IDKUM.0325.0000052
PKK.DN.IDKUM.2502.000108,SPB.IDKUM.0325.0000051
PKK.DN.IDGRE.2503.000004,SPB.IDGRE.0325.0000189
PKK.DN.IDBDJ.2503.000579,SPB.IDBDJ.0325.0000820
PKK.DN.IDBDJ.2503.000578,SPB.IDBDJ.0325.0000819
PKK.DN.IDGRE.2503.000007,SPB.IDGRE.0325.0000186
PKK.DN.IDBOA.2503.000459,SPB.IDBOA.0325.0000652
PKK.DN.IDBOA.2503.000597,SPB.IDBOA.0325.0000651
PKK.DN.IDSTU.2503.000083,SPB.IDSTU.0325.0000161
PKK.DN.IDSTU.2503.000085,SPB.IDSTU.0325.0000160
PKK.DN.IDBDJ.2503.000698,SPB.IDBDJ.0325.0000817
PKK.DN.IDBDJ.2503.000289,SPB.IDBDJ.0325.0000818
PKK.DN.IDGRE.2502.000743,SPB.IDGRE.0325.0000184
PKK.DN.IDGRE.2502.000626,SPB.IDGRE.0325.0000183
PKK.DN.IDBDJ.2502.001616,SPB.IDBDJ.0325.0000809
PKK.DN.IDGRE.2502.000741,SPB.IDGRE.0325.0000182
PKK.DN.IDBDJ.2502.001617,SPB.IDBDJ.0325.0000810
PKK.DN.IDSUB.2502.000439,SPB.IDSUB.0325.0000236
PKK.DN.IDSUB.2502.000440,SPB.IDSUB.0325.0000235
PKK.DN.IDKBU.2503.000081,SPB.IDKBU.0325.0000180
PKK.DN.IDBDJ.2503.000311,SPB.IDBDJ.0325.0000806
PKK.DN.IDKBU.2503.000080,SPB.IDKBU.0325.0000179
PKK.DN.IDCEB.2503.000014,SPB.IDCEB.0325.0000019
PKK.DN.IDBDJ.2503.000310,SPB.IDBDJ.0325.0000807
PKK.DN.IDKBU.2503.000169,SPB.IDKBU.0325.0000178
PKK.LN.IDSUB.2503.000163,SPB.IDSUB.0325.0000234
PKK.DN.IDBJU.2503.000023,SPB.IDBJU.0325.0000031
PKK.DN.IDSUB.2503.000228,SPB.IDSUB.0325.0000231
PKK.DN.IDBJU.2503.000019,SPB.IDBJU.0325.0000029
PKK.DN.IDSMQ.2502.000282,SPB.IDSMQ.0325.0000068
PKK.DN.IDSMQ.2502.000283,SPB.IDSMQ.0325.0000067
PKK.DN.IDBDJ.2503.000667,SPB.IDBDJ.0325.0000802
PKK.DN.IDSUB.2503.000148,SPB.IDSUB.0325.0000233
PKK.LN.IDSUB.2502.000977,SPB.IDSUB.0325.0000232
PKK.DN.IDBJU.2503.000018,SPB.IDBJU.0325.0000030
PKK.DN.IDBDJ.2503.000666,SPB.IDBDJ.0325.0000803
PKK.DN.IDBDJ.2503.000256,SPB.IDBDJ.0325.0000800
PKK.DN.IDSRG.2503.000057,SPB.IDSRG.0325.0000060
PKK.DN.IDCEB.2503.000013,SPB.IDCEB.0325.0000018
PKK.DN.IDGRE.2502.000306,SPB.IDGRE.0325.0000181
PKK.DN.IDBDJ.2503.000255,SPB.IDBDJ.0325.0000801
PKK.DN.IDSUB.2502.000817,SPB.IDSUB.0325.0000230
PKK.LN.IDSRG.2503.000033,SPB.IDSRG.0325.0000061
PKK.DN.IDLBR.2503.000037,SPB.IDLBR.0325.0000044
PKK.DN.IDBDJ.2503.000437,SPB.IDBDJ.0325.0000796
PKK.DN.IDBDJ.2503.000438,SPB.IDBDJ.0325.0000795
PKK.DN.IDSRG.2503.000005,SPB.IDSRG.0325.0000059
PKK.DN.IDKUM.2503.000018,SPB.IDKUM.0325.0000050
PKK.DN.IDSTU.2503.000110,SPB.IDSTU.0325.0000153
PKK.DN.IDSTU.2503.000111,SPB.IDSTU.0325.0000152
PKK.DN.IDSTU.2502.000240,SPB.IDSTU.0325.0000151
PKK.DN.IDBDJ.2503.000268,SPB.IDBDJ.0325.0000793
PKK.DN.IDKBU.2503.000159,SPB.IDKBU.0325.0000176
PKK.DN.IDGRE.2503.000166,SPB.IDGRE.0325.0000180
PKK.DN.IDSTU.2502.000239,SPB.IDSTU.0325.0000150
PKK.DN.IDBDJ.2503.000266,SPB.IDBDJ.0325.0000792
PKK.DN.IDBDJ.2503.000410,SPB.IDBDJ.0325.0000790
PKK.DN.IDBDJ.2503.000411,SPB.IDBDJ.0325.0000789
PKK.DN.IDBDJ.2503.000488,SPB.IDBDJ.0325.0000791
PKK.DN.IDKBU.2503.000048,SPB.IDKBU.0325.0000175
PKK.DN.IDKBU.2503.000049,SPB.IDKBU.0325.0000174
PKK.DN.IDBDJ.2503.000364,SPB.IDBDJ.0325.0000787
PKK.DN.IDBDJ.2502.001681,SPB.IDBDJ.0325.0000786
PKK.DN.IDKUM.2503.000039,SPB.IDKUM.0325.0000049
PKK.DN.IDSMQ.2502.000360,SPB.IDSMQ.0325.0000063
PKK.DN.IDSMQ.2502.000361,SPB.IDSMQ.0325.0000062
PKK.DN.IDLBR.2503.000027,SPB.IDLBR.0325.0000039
PKK.DN.IDSMQ.2502.000336,SPB.IDSMQ.0325.0000066
PKK.DN.IDSMQ.2502.000335,SPB.IDSMQ.0325.0000065
PKK.DN.IDSUB.2503.000085,SPB.IDSUB.0325.0000229
PKK.DN.IDSUB.2503.000030,SPB.IDSUB.0325.0000228
PKK.DN.IDBDJ.2503.000363,SPB.IDBDJ.0325.0000788
PKK.DN.IDBDJ.2502.001679,SPB.IDBDJ.0325.0000785
PKK.DN.IDKUM.2503.000038,SPB.IDKUM.0325.0000048
PKK.DN.IDSMQ.2503.000069,SPB.IDSMQ.0325.0000064
PKK.DN.IDBDJ.2503.000459,SPB.IDBDJ.0325.0000783
PKK.DN.IDBDJ.2503.000461,SPB.IDBDJ.0325.0000784
PKK.DN.IDSUB.2503.000192,SPB.IDSUB.0325.0000227
PKK.DN.IDSUB.2503.000201,SPB.IDSUB.0325.0000226
PKK.DN.IDKBU.2503.000071,SPB.IDKBU.0325.0000173
PKK.DN.IDKOE.2503.000038,SPB.IDKOE.0325.0000044
PKK.DN.IDKOE.2503.000040,SPB.IDKOE.0325.0000043
PKK.DN.IDSUB.2503.000029,SPB.IDSUB.0325.0000223
PKK.LN.IDSUB.2503.000159,SPB.IDSUB.0325.0000222
PKK.DN.IDSUB.2503.000133,SPB.IDSUB.0325.0000225
PKK.DN.IDBOA.2503.000490,SPB.IDBOA.0325.0000602
PKK.DN.IDSUB.2503.000205,SPB.IDSUB.0325.0000224
PKK.DN.IDBDJ.2503.000713,SPB.IDBDJ.0325.0000782
PKK.DN.IDSUB.2503.000135,SPB.IDSUB.0325.0000221
PKK.DN.IDSUB.2503.000204,SPB.IDSUB.0325.0000219
PKK.DN.IDSUB.2502.001045,SPB.IDSUB.0325.0000218
PKK.DN.IDSTU.2503.000084,SPB.IDSTU.0325.0000149
PKK.LN.IDGRE.2503.000139,SPB.IDGRE.0325.0000179
PKK.DN.IDKBU.2503.000152,SPB.IDKBU.0325.0000170
PKK.DN.IDKBU.2503.000151,SPB.IDKBU.0325.0000169
PKK.DN.IDLBR.2503.000026,SPB.IDLBR.0325.0000038
PKK.DN.IDSUB.2503.000186,SPB.IDSUB.0325.0000220
PKK.DN.IDSTU.2503.000086,SPB.IDSTU.0325.0000148
PKK.DN.IDLBR.2503.000029,SPB.IDLBR.0325.0000037
PKK.DN.IDKBU.2503.000139,SPB.IDKBU.0325.0000167
PKK.DN.IDSUB.2503.000145,SPB.IDSUB.0325.0000216
PKK.DN.IDKBU.2503.000108,SPB.IDKBU.0325.0000166
PKK.DN.IDSUB.2503.000150,SPB.IDSUB.0325.0000214
PKK.DN.IDSUB.2502.000918,SPB.IDSUB.0325.0000217
PKK.DN.IDSUB.2503.000197,SPB.IDSUB.0325.0000215
PKK.DN.IDBJU.2503.000021,SPB.IDBJU.0325.0000028
PKK.DN.IDSUB.2503.000149,SPB.IDSUB.0325.0000213
PKK.DN.IDBDJ.2503.000528,SPB.IDBDJ.0325.0000781
PKK.DN.IDBJU.2503.000017,SPB.IDBJU.0325.0000027
PKK.DN.IDKBU.2503.000107,SPB.IDKBU.0325.0000165
PKK.DN.IDBDJ.2412.002155,SPB.IDBDJ.0325.0000780
